EQ_ID,Mag
000000,7.7
000001,7.7
000002,7.7
000003,7.8
000005,7.8
000006,8.0
000007,8.0
000008,7.7
000010,8.0
000011,8.0
000012,7.8
000014,7.9
000015,7.8
000016,7.8
000017,7.8
000018,7.7
000019,7.6
000021,7.8
000022,7.6
000023,7.6
000024,7.9
000025,8.0
000028,7.6
000029,7.9
000030,7.8
000031,7.9
000032,7.9
000033,7.7
000034,8.0
000035,7.8
000037,7.7
000038,7.7
000039,7.9
000040,7.8
000041,7.8
000042,7.7
000044,7.9
000046,7.7
000048,7.8
000049,7.7
000050,7.9
000051,7.7
000053,7.7
000055,8.0
000058,7.8
000060,7.7
000065,7.8
000066,7.5
000067,7.9
000068,7.8
000070,7.9
000071,7.9
000072,7.8
000073,7.9
000074,7.6
000075,7.9
000076,7.8
000077,7.8
000078,7.6
000079,7.5
000080,7.7
000082,8.1
000083,7.8
000084,7.8
000085,7.8
000086,7.7
000087,7.8
000088,7.9
000089,7.9
000090,7.8
000091,7.7
000093,7.6
000094,7.9
000096,7.8
000097,7.9
000099,7.7
000100,8.0
000101,7.8
000102,7.8
000103,7.9
000104,7.9
000105,7.9
000106,7.8
000107,7.7
000108,7.9
000109,7.6
000110,7.9
000111,7.9
000112,7.7
000113,7.7
000114,7.6
000115,7.9
000116,7.8
000117,7.9
000118,7.8
000119,8.0
000121,7.8
000123,7.9
000124,7.9
000125,7.8
000128,8.0
000130,7.9
000131,7.5
000132,7.6
000134,7.5
000135,7.8
000136,7.7
000137,7.6
000138,8.1
000139,7.7
000140,7.7
000141,7.6
000143,7.7
000144,7.7
000146,7.5
000147,7.9
000148,7.6
000149,7.6
000151,7.8
000153,7.6
000154,8.1
000157,7.8
000159,7.8
000160,7.8
000161,7.6
000162,7.6
000164,7.9
000165,7.6
000168,7.7
000170,7.8
000171,7.5
000172,7.9
000173,7.7
000174,7.7
000176,7.6
000177,7.9
000178,7.8
000180,8.2
000182,7.9
000185,7.5
000186,7.9
000187,7.7
000190,7.9
000191,7.6
000193,7.9
000194,7.8
000195,7.8
000196,7.6
000198,7.6
000200,7.9
000204,7.8
000206,7.7
000207,7.9
000208,7.7
000210,7.7
000211,7.9
000212,7.8
000214,7.7
000215,7.8
000216,7.9
000217,7.8
000220,7.7
000221,8.0
000222,7.9
000223,7.7
000224,7.6
000225,7.8
000226,7.7
000227,7.9
000231,8.0
000232,7.9
000233,7.6
000234,7.8
000235,7.8
000236,7.9
000237,7.8
000239,7.7
000240,7.8
000241,7.7
000242,7.8
000243,7.6
000244,7.6
000245,7.6
000246,7.8
000247,7.8
000248,7.8
000249,7.8
000250,7.5
000252,7.8
000253,7.9
000254,7.6
000255,8.0
000256,7.8
000257,7.9
000258,8.0
000260,7.9
000261,7.9
000262,7.9
000264,7.7
000265,8.0
000267,7.9
000269,7.8
000270,7.8
000272,7.6
000274,8.0
000275,7.7
000277,7.8
000278,7.9
000279,7.8
000280,7.5
000281,7.7
000282,7.7
000283,7.8
000284,7.7
000285,7.8
000286,7.7
000287,7.7
000289,7.7
000290,7.8
000291,7.5
000292,7.9
000293,7.8
000294,7.8
000295,7.8
000296,7.7
000297,7.8
000299,8.2
000300,7.8
000301,7.9
000304,7.8
000305,8.0
000306,7.7
000307,7.8
000308,7.7
000310,7.9
000312,7.9
000313,7.7
000315,7.7
000316,8.0
000317,7.7
000318,8.1
000319,7.9
000320,7.9
000322,7.6
000326,7.7
000327,7.6
000330,7.7
000331,7.7
000332,7.8
000334,7.9
000335,7.7
000336,7.9
000337,7.8
000338,7.9
000339,7.8
000341,7.9
000342,7.6
000345,7.8
000346,7.6
000347,8.0
000348,7.6
000349,7.7
000351,7.9
000353,7.9
000354,7.9
000357,7.9
000358,7.7
000359,7.7
000360,7.7
000363,7.7
000365,7.7
000366,7.8
000367,7.7
000368,7.8
000370,7.9
000371,7.8
000372,7.7
000373,8.1
000374,7.4
000375,7.9
000377,7.6
000378,8.0
000379,7.7
000380,7.7
000381,7.9
000383,7.8
000384,7.6
000386,7.8
000388,7.9
000389,7.6
000391,7.6
000392,8.0
000394,7.8
000396,8.0
000398,7.7
000399,7.6
000400,7.8
000401,8.1
000402,7.9
000404,7.6
000405,7.7
000408,7.6
000409,7.7
000410,7.9
000411,7.9
000412,7.9
000413,7.5
000414,7.7
000415,7.8
000416,7.9
000417,7.7
000418,7.9
000419,7.9
000420,7.8
000421,7.9
000425,7.7
000427,8.0
000429,7.8
000430,7.9
000431,7.8
000433,7.7
000435,7.6
000436,7.7
000437,7.8
000438,7.9
000439,7.6
000442,8.0
000443,7.7
000444,8.0
000446,8.0
000447,7.9
000448,7.6
000449,7.7
000452,8.0
000453,8.0
000454,7.9
000456,7.8
000457,7.8
000458,7.7
000459,7.6
000461,7.5
000462,7.8
000464,7.9
000466,7.6
000467,7.7
000468,7.7
000470,7.8
000471,8.0
000472,7.6
000473,7.6
000474,7.7
000475,7.9
000476,7.9
000477,7.6
000478,7.9
000479,7.9
000480,7.8
000481,7.7
000483,7.8
000484,7.7
000485,7.8
000487,7.7
000488,7.8
000490,7.8
000492,7.9
000493,7.9
000495,7.8
000496,7.8
000497,7.7
000498,7.6
000500,7.8
000501,8.0
000503,8.0
000504,7.7
000505,7.8
000506,7.7
000507,7.8
000508,8.0
000509,7.9
000510,7.7
000511,8.1
000513,7.8
000514,7.7
000515,8.0
000518,7.8
000519,7.6
000521,7.8
000522,7.7
000524,7.7
000525,7.6
000526,7.9
000528,7.8
000529,7.9
000530,7.7
000531,7.8
000533,7.7
000534,7.7
000535,7.8
000536,7.8
000538,7.8
000539,7.7
000540,7.7
000541,7.7
000544,7.9
000545,7.9
000546,7.9
000547,7.8
000551,7.9
000553,7.9
000554,7.5
000556,8.0
000557,7.5
000558,7.8
000560,7.5
000561,7.7
000563,7.8
000564,7.7
000565,7.7
000566,7.7
